Date,Close,EMA_1,EMA_2,EMA_3,EMA_4,EMA_5,EMA_6,EMA_7,EMA_8,EMA_9,EMA_10,EMA_11,EMA_12,EMA_13,EMA_14,EMA_15,EMA_16,EMA_17,EMA_18,EMA_19,EMA_20,EMA_21,EMA_22,EMA_23,EMA_24,EMA_25,EMA_26,EMA_27,EMA_28,EMA_29,EMA_30
2023-07-01,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125,30590.078125
2023-07-02,30620.769531,30620.769531,30610.539062333337,30605.423828,30602.354687400002,30600.30859366667,30598.847098142858,30597.7509765,30596.898437444444,30596.2164062,30595.658380636363,30595.193359333334,30594.79987976923,30594.46261157143,30594.170312466667,30593.91455075,30593.68887864706,30593.48828122222,30593.30879931579,30593.1472656,30593.00111604762,30592.86825281818,30592.746942913047,30592.635742166665,30592.53343748,30592.439002384617,30592.351562481483,30592.270368285714,30592.194773689655,30592.124218733334,30592.05821570968
2023-07-03,31156.439453,31156.439453,30974.472656111113,30880.9316405,30823.988593640002,30785.685546777782,30758.15919953061,30737.423095625,30721.24088534568,30708.26101556,30697.61857561157,30688.734374944444,30681.20596795858,30674.7450174898,30669.139531204444,30664.23016353125,30659.894828570934,30656.03841141975,30652.585710229916,30649.47648434,30646.661910043083,30644.101998289254,30641.76368292061,30639.61938473611,30637.645918721602,30635.823652431955,30634.13585066804,30632.56816005102,30631.108199848986,30629.74523435111,30628.469908438088
2023-07-04,30777.582031,30777.582031,30843.212239370372,30829.25683575,30805.425968584,30782.984374851858,30763.70857995044,30747.46282946875,30733.76113993553,30722.125218648,30712.157385682192,30703.54231762037,30696.033054580337,30689.43601941983,30683.598531177187,30678.399146964846,30673.74038179788,30669.54325803978,30665.7432176794,30662.287039006,30659.13049299136,30656.236546717504,30653.57397405795,30651.116271924766,30648.840807703877,30646.728143091037,30644.761493655595,30642.926293690234,30641.20984337664,30639.60102079437,30638.09004537757
2023-07-05,30514.166016,30514.166016,30623.84809045679,30671.711425875,30688.9219875504,30693.378255234573,30692.41070453603,30689.13862610156,30684.962223505412,30680.5333781184,30676.158954830884,30671.97960068364,30668.053510183363,30664.397447502713,30661.00752915356,30657.87000559424,30654.966926998128,30652.279120035357,30649.787722765777,30647.474936705403,30645.324352325515,30643.321043925003,30641.451542922478,30639.703750597702,30638.06682436757,30636.531056391726,30635.087754569995,30633.729130998076,30632.448200109284,30631.238687141413,30630.09494670805
2023-07-06,29909.337891,29909.337891,30147.507957485595,30290.524658437498,30377.08834893024,30432.031467156383,30468.675614954307,30494.188442326173,30512.60126072643,30526.29428069472,30536.736943225267,30544.8726490697,30551.328030309,30556.531796573756,30560.784910733088,30564.30349126996,30567.245863939523,30569.730094586983,30571.845635211484,30573.661232134862,30575.230403627847,30576.595302750004,30577.789486233567,30578.83992896456,30579.768509698166,30580.593120592363,30581.328505416663,30581.98689956964,30582.578523618988,30583.111967398654,30583.59449150108
2023-07-07,30342.265625,30342.265625,30277.346402495197,30316.39514171875,30363.159259358144,30402.109519770922,30432.55847496736,30456.207737994628,30474.748897231668,30489.48854955578,30501.378521729763,30511.104811724752,30519.164583338385,30525.92234349179,30531.649005968677,30536.548757986213,30540.77760053487,30544.45626463287,30547.679318347116,30550.521671421375,30553.043281853767,30555.29260477273,30557.309150474128,30559.125403634178,30560.768278922314,30562.26023631603,30563.620143904318,30564.863951386098,30566.005220265954,30567.05554457208,30568.02488721069
2023-07-08,30292.541016,30292.541016,30287.476144831733,30304.468078859376,30334.911962014885,30365.586685180617,30392.553486690973,30415.29105749597,30434.258256957964,30450.099042844624,30463.408066142532,30474.677512437294,30484.29941913248,30492.582153850108,30499.767940639522,30506.047790237935,30511.573296471946,30516.46568145144,30520.822654942156,30524.723605879237,30528.233542248647,30531.40609670248,30534.2858344329,30536.910037997994,30539.31009788853,30541.51260398403,30543.540208503997,30545.412313144236,30547.14561997175,30548.754576000607,30550.251734229358
2023-07-09,30171.234375,30171.234375,30209.98163161058,30237.851226929688,30269.440927208932,30300.80258178708,30329.319454779266,30354.27688687198,30375.80850541175,30394.326109275702,30410.28557684389,30424.103656197745,30436.13556618902,30446.675328300094,30455.96346522092,30464.196113333193,30471.5334233576,30478.106647401277,30484.023888632455,30489.374682791313,30494.2336215583,30498.663212911346,30502.7161423083,30506.437066081493,30509.864040057448,30513.02966329295,30515.961998614814,30518.685317562504,30521.220706525422,30523.586562600565,30525.799001375854
2023-07-10,30414.470703,30414.470703,30346.307679203524,30326.160964964845,30327.45283752536,30338.691955524722,30353.648382842333,30369.325340903983,30384.400104875807,30398.355028020564,30411.04650887227,30422.49816399812,30432.802510313784,30442.07466754294,30450.4310969248,30457.980437041544,30464.820162139058,30471.035986912244,30476.702500671145,30481.884284812182,30486.637153124175,30491.00934837395,30495.042625846712,30498.773202491368,30502.232573092853,30505.44820480888,30508.444124865568,30511.241416522327,30513.85863731677,30516.31217196053,30518.616530512896
