Date,Close,EMA_24
2024-04-01,69702.148438,69702.148438
2024-04-02,65446.972656,69361.73437544
2024-04-03,65980.8125,69091.26062540482
2024-04-04,68508.84375,69044.66727537243
2024-04-05,67837.640625,68948.10514334263
2024-04-06,68896.109375,68943.94548187523
2024-04-07,69362.554688,68977.43421836522
2024-04-08,71631.359375,69189.748230896
2024-04-09,69139.015625,69185.68962242432
2024-04-10,70587.882813,69297.86507767039
2024-04-11,70060.609375,69358.88462145676
2024-04-12,67195.867188,69185.84322678023
2024-04-13,63821.472656,68756.69358111781
2024-04-14,65738.726563,68515.25621966839
2024-04-15,63426.210938,68108.13259713491
2024-04-16,63811.863281,67764.43105184412
2024-04-17,61276.691406,67245.41188017659
2024-04-18,63512.753906,66946.79924224246
2024-04-19,63843.570313,66698.54092790306
2024-04-20,64994.441406,66562.21296615082
2024-04-21,64926.644531,66431.36749133877
2024-04-22,66837.679688,66463.87246707166
2024-04-23,66407.273438,66459.34454474594
2024-04-24,64276.898438,66284.74885620626
2024-04-25,64481.707031,66140.50551018976
2024-04-26,63755.320313,65949.69069441457
2024-04-27,63419.140625,65747.24668886141
2024-04-28,63113.230469,65536.5253912725
2024-04-29,63841.121094,65400.8930474907
2024-04-30,60636.855469,65019.77004121145
2024-05-01,58254.011719,64478.509375434536
2024-05-02,59123.433594,64050.103312919775
2024-05-03,62889.835938,63957.281922926195
2024-05-04,63891.472656,63952.017181572104
2024-05-05,64031.132813,63958.346432086335
2024-05-06,63161.949219,63894.63465503943
2024-05-07,62334.816406,63769.84919511628
2024-05-08,61187.941406,63563.29657198698
2024-05-09,63049.960938,63522.22972126803
2024-05-10,60792.777344,63303.87353108659
2024-05-11,60793.710938,63103.060523639666
2024-05-12,61448.394531,62970.687244228495
2024-05-13,62901.449219,62965.14820221022
2024-05-14,61552.789063,62852.159471073406
2024-05-15,66267.492188,63125.386088427535
2024-05-16,65231.582031,63293.881763833335
2024-05-17,67051.875,63594.521222726675
2024-05-18,66940.804688,63862.22389994854
2024-05-19,66278.367188,64055.515362992664
2024-05-20,71448.195313,64646.929758993254
2024-05-21,70136.53125,65086.097878273795
2024-05-22,69122.335938,65408.99692305189
2024-05-23,67929.5625,65610.64216920774
2024-05-24,68526.101563,65843.87892071113
2024-05-25,69265.945313,66117.64423209424
2024-05-26,68518.09375,66309.68019352671
2024-05-27,69394.554688,66556.47015308458
2024-05-28,68296.21875,66695.65004083782
2024-05-29,67578.09375,66766.2455375708
2024-05-30,68364.992188,66894.14526960513
2024-05-31,67491.414063,66941.92677307672
2024-06-01,67706.9375,67003.12763123059
2024-06-02,67751.601563,67063.00554577215
2024-06-03,68804.78125,67202.34760211037
2024-06-04,70567.765625,67471.58104394155
2024-06-05,71082.820313,67760.48018546624
2024-06-06,70757.164063,68000.21489566893
2024-06-07,69342.585938,68107.60457905542
2024-06-08,69305.773438,68203.458087771
2024-06-09,69647.992188,68319.02081578932
2024-06-10,69512.28125,68414.48165052618
2024-06-11,67332.03125,68327.8856184841
2024-06-12,68241.1875,68320.94976900537
2024-06-13,66756.398438,68195.78566252494
2024-06-14,66011.09375,68021.01030952294
2024-06-15,66191.0,67874.60948476111
2024-06-16,66639.046875,67775.76447598022
2024-06-17,66490.296875,67672.92706790181
2024-06-18,65140.746094,67470.35258998966
2024-06-19,64960.296875,67269.5481327905
2024-06-20,64828.65625,67074.27678216726
2024-06-21,64096.199219,66836.03057711388
2024-06-22,64252.578125,66629.35438094477
2024-06-23,63180.796875,66353.4697804692
2024-06-24,60277.414063,65867.38532307166
2024-06-25,61804.640625,65542.36574722594
2024-06-26,60811.277344,65163.87867496786
2024-06-27,61604.800781,64879.15244345043
2024-06-28,60320.136719,64514.4311854944
2024-06-29,60887.378906,64224.26700313485
2024-06-30,,64224.26700313485
2024-07-01,63263.613281,64141.30899604203
