Date,Close,EMA_1,EMA_2,EMA_3,EMA_4,EMA_5,EMA_6,EMA_7,EMA_8,EMA_9,EMA_10,EMA_11,EMA_12,EMA_13,EMA_14,EMA_15,EMA_16,EMA_17,EMA_18,EMA_19,EMA_20,EMA_21,EMA_22,EMA_23,EMA_24,EMA_25,EMA_26,EMA_27,EMA_28,EMA_29,EMA_30
2024-01-01,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031,44167.332031
2024-01-02,44957.96875,44957.96875,44694.423177,44562.6503905,44483.586718599996,44430.877604,44393.22823642857,44364.99121075,44343.02907966667,44325.4593748,44311.08416172727,44299.104817499996,44288.96844930769,44280.28013371429,44272.7502602,44266.161620875,44260.34811558823,44255.180555333325,44250.55694878947,44246.3957029,44242.63076614286,44239.20809636363,44236.08305004348,44233.21842424999,44230.58296852,44228.150240153846,44225.89771388889,44223.80608235714,44221.85870127586,44220.0411456,44218.340851580644
2024-01-03,42848.175781,42848.175781,43463.59157966667,43705.41308575,43829.42234356,43903.31032966667,43951.78467773469,43985.787353312495,44010.83945774074,44030.00265604,44045.10081977685,44057.283311416664,44067.308038798816,44075.69379761225,44082.80699630667,44088.91339089062,44094.21019387197,44098.846691518505,44102.93787849584,44106.57371071,44109.825529462585,44112.75061314875,44115.395461431006,44117.79820397916,44119.990393518405,44121.998358680474,44123.8442373786,44125.54677511735,44127.121948153384,44128.58345462667,44129.943105091574
2024-01-04,44179.921875,44179.921875,43941.145109888894,43942.667480375,43969.622156136,43995.514178111116,44016.96673409621,44034.320983734375,44048.413328242794,44059.986499832004,44069.61373890833,44077.72307201389,44084.633244368226,44090.58352295336,44095.75564679911,44100.28945140429,44104.2939210635,44107.85504523867,44111.041457075225,44113.908527139,44116.50137189472,44118.85709149887,44121.006453915266,44122.97517656423,44124.784912036936,44126.45401378198,44127.99813646167,44129.43071082325,44130.763322418665,44132.006015984894,44133.16754185986
2024-01-05,44162.691406,44162.691406,44088.842640629635,44052.6794431875,44046.8498560816,44051.23992074074,44058.60235464015,44066.41358930078,44073.808456633284,44080.527481065605,44086.53695110681,44091.88446101158,44096.64219231158,44100.88464910288,44104.680414692564,44108.089695728755,44111.16421340897,44113.94797421215,44116.478293804146,44118.7868150251,44120.90042276189,44122.842029180785,44124.63123235742,44126.28486235054,44127.81743155398,44129.24150549106,44130.568008279326,44131.80647476445,44132.96525921737,44134.051708652565,44135.07230728826
2024-01-06,43989.195313,43989.195313,44022.41108887654,44020.937378093746,44023.78803884896,44030.55838482716,44038.77177131439,44047.10902022558,44055.00553582588,44062.261047452484,44068.838471451025,44074.76960300965,44080.11190318672,44084.929029659615,44089.282401133554,44093.22789788766,44096.81493100792,44100.08656741079,44103.08008529845,44105.827664822595,44108.357078975045,44110.6923277098,44112.85419589156,44114.86073323799,44116.727662069665,44118.46872145329,44120.09595677716,44121.61996320985,44123.05009051273,44124.39461560906,44125.66088830192
2024-01-07,43943.097656,43943.097656,43969.53546695885,43982.01751704687,43991.51188570938,44001.404808551444,44011.43630979599,44021.10617916918,44030.13711808679,44038.42836916199,44045.97650500538,44052.824278508044,44059.032788234916,44064.6674048511,44069.791101782415,44074.4616176517,44078.73054571287,44082.64335503181,44086.23982958282,44089.55466394033,44092.61808631075,44095.456448463454,44098.09275764012,44100.54714346815,44102.83726158409,44104.97863949535,44106.9849715344,44108.86836983772,44110.63957778771,44112.30815163512,44113.882615250186
2024-01-08,46970.503906,46970.503906,45970.181092986284,45476.260711523435,45183.10869382563,44991.10450770096,44856.88419442571,44758.45561087689,44683.55195984528,44624.8434765296,44577.70875973167,44539.10421642337,44506.951421737234,44479.78690501523,44456.552809011424,44436.46690369524,44418.93917633488,44403.51674958383,44389.84657446884,44377.6495881463,44366.70245009068,44356.824399148594,44347.867640106204,44339.710207012475,44332.25059313737,44325.40365999571,44319.09748519852,44313.270908135026,44307.87160042304,44302.85453525945,44298.1807630405
2024-01-09,46139.730469,46139.730469,46083.21401032876,45807.99559026172,45565.757403895375,45373.979828133975,45223.41170144694,45103.77432540766,45007.14718410189,44927.82087502368,44861.71270687137,44805.87525851948,44758.1481982392,44716.9216998702,44680.9764970099,44649.37484935833,44621.38521076607,44596.429385074516,44574.044879156325,44553.857676231666,44535.562261415376,44518.90676913509,44503.681799140446,44489.711895511435,44476.84898320638,44464.967260688354,44453.959187702334,44443.73230533967,44434.20669480765,44425.312930842156,44416.99042148951
2024-01-10,46627.777344,46627.777344,46446.25623277626,46217.88646713086,45990.56537993722,45791.91233342265,45624.65902789067,45484.77508005575,45367.2872196348,45267.81216881895,45182.81536816748,45109.52560609957,45045.78345143317,44989.90107760303,44940.54994327525,44896.67516118854,44857.43134408771,44822.13471384401,44790.22724387671,44761.2496430085,44734.82084070915,44710.62227594099,44688.38575956302,44667.88401621881,44648.92325206987,44631.33726709695,44614.982754835495,44599.735522386836,44585.48742923471,44572.143891719345,44559.62183584503
